user_id,is_malicious,attack_type,attack_rate
284,1,high,0.2
116,1,high,0.2
113,1,low,0.2
42,1,high,0.2
126,1,low,0.2
231,1,high,0.2
181,1,low,0.2
278,1,high,0.2
336,1,low,0.2
25,1,high,0.2
124,1,low,0.2
221,1,low,0.2
261,1,high,0.2
155,1,high,0.2
109,1,low,0.2
172,1,high,0.2
118,1,low,0.2
325,1,high,0.2
266,1,low,0.2
9,1,low,0.2
280,1,low,0.2
55,1,low,0.2
165,1,low,0.2
119,1,low,0.2
144,1,high,0.2
90,1,high,0.2
108,1,high,0.2
210,1,low,0.2
139,1,low,0.2
314,1,low,0.2
176,1,low,0.2
39,1,high,0.2
104,1,high,0.2
316,1,low,0.2
78,1,high,0.2
5,1,high,0.2
300,1,low,0.2
329,1,high,0.2
110,1,low,0.2
76,1,high,0.2
84,1,low,0.2
3,1,low,0.2
158,1,low,0.2
228,1,low,0.2
46,1,high,0.2
315,1,low,0.2
286,1,low,0.2
296,1,low,0.2
73,1,high,0.2
33,1,low,0.2
319,1,high,0.2
182,1,low,0.2
203,1,high,0.2
82,1,high,0.2
63,1,low,0.2
197,1,high,0.2
57,1,low,0.2
331,1,low,0.2
334,1,low,0.2
45,1,high,0.2
305,1,high,0.2
306,1,low,0.2
317,1,low,0.2
173,1,high,0.2
208,1,low,0.2
72,1,low,0.2
75,1,low,0.2
16,1,high,0.2
