user_id,flagged,attack_percentage
3,1,30
5,1,30
7,1,30
9,1,30
16,1,30
17,1,30
18,1,30
19,1,30
24,1,30
25,1,30
33,1,30
39,1,30
42,1,30
45,1,30
46,1,30
55,1,30
57,1,30
60,1,30
63,1,30
66,1,30
72,1,30
73,1,30
75,1,30
76,1,30
77,1,30
78,1,30
79,1,30
82,1,30
84,1,30
90,1,30
94,1,30
101,1,30
104,1,30
108,1,30
109,1,30
110,1,30
113,1,30
114,1,30
116,1,30
118,1,30
119,1,30
124,1,30
126,1,30
137,1,30
139,1,30
140,1,30
143,1,30
144,1,30
145,1,30
147,1,30
152,1,30
155,1,30
158,1,30
165,1,30
172,1,30
173,1,30
176,1,30
181,1,30
182,1,30
194,1,30
197,1,30
198,1,30
199,1,30
203,1,30
208,1,30
209,1,30
210,1,30
211,1,30
221,1,30
222,1,30
228,1,30
231,1,30
247,1,30
250,1,30
254,1,30
261,1,30
266,1,30
268,1,30
272,1,30
275,1,30
278,1,30
280,1,30
284,1,30
286,1,30
296,1,30
298,1,30
300,1,30
302,1,30
305,1,30
306,1,30
314,1,30
315,1,30
316,1,30
317,1,30
319,1,30
321,1,30
325,1,30
328,1,30
329,1,30
331,1,30
334,1,30
336,1,30
